song_id,Release Date,Length,emotion,Popularity
647141d4fe2ebe80eea09259b7d7938572d032b4c7939bc11f8b1b91eb558374,2024-05-17,05:43,joy,88
2f17aef8289e914e8c102260af776d0d973325a6aee46f5f09bd506b8455bf59,2009-01-01,04:49,anger,81
af25d5766d1348dfd28487f4440ded32e114f463742a6bc908b280e10316fb5d,1970-09-18,02:47,sadness,83
a76b52fa4818de410561a1f01fc64dfbf95ebd00a39acb6a67b1c6e9a8f81b14,1997-02-10,02:01,sadness,83
07eccc6bc935ceab4d582998d7f9bbc9443660852c0b4427caa337fccc397beb,1986-08-16,03:42,joy,84
e0105d6b56a43374abb1b6c1725e7a4b0e2e771bfd008ecb79e094928c45f565,2000-01-01,03:44,sadness,82
4275a74dcb934c95deaabe90c2a50be3d28fc2961dac73825fd2711b51674dbb,1986-08-16,03:42,sadness,84
c0c5baa3df8313ae346403828f739f77387fb1754caf9e605040101307cab784,2003-11-13,03:18,joy,86
9c36fb1cad8e9cfda59b76f98c7cdaa21dd349ab79a0cee5a574796326c1507f,2003-11-13,03:18,joy,86
55d1a89f12280e8ec2ed9a4298c1c7f70549b8048604734399b6e46f714cc2cf,1984-06-04,04:01,anger,83
92fc5e1ac377bbb614a7d11c900f166ea7f2b7dc7158784a8bb59d9741c5866a,2012-12-07,03:33,sadness,90
e1d2d88c11e70b4530b3014975ff519e109ca103bdba1cc8f1df319ff8f5b726,2012-12-07,03:33,sadness,85
c2aeb30a919c49be3c3ff9695e61a4aff7b9ddc69eb6b0fc82c11b03838172ca,1984-11-05,03:36,anger,83
4ed10a6611a19105b4df1f3da92685d52f5b98e3ef91bd74cc9965414cde2f8d,2015-10-02,03:18,sadness,83
e75826b742452c78487719f2f861e91a20cd646ef3bdec321f05e9415a5a23bb,2015-10-02,03:18,joy,83
98c0c7ba13a0b5b4d70a32ef89b1f1952ae32a68e8c255bc45d0182d037d3cfb,2015-10-02,03:18,joy,83
586071e3057ca0f2cc0397be718b1dbe33bccac929131bfc784d0701c08bc15d,2024-02-13,02:41,joy,83
24ef9b5c17ba8ddca16ba5f695846d54a8f4ae2b2c2cd3aeaee00410fa977458,2024-02-13,02:41,sadness,84
46bf1cefec299876601fd83e10949e4e071d3f38ece3c37950d6e80c05595db4,2015-10-02,03:18,anger,83
e061455735bc16459497e02ef1c063c161cd5f5061a83df34a3ac43f39f6a151,2024-02-13,02:41,sadness,83
3754229c967290fb8a62f02eca0a908f7d634e3d0d9ac3ef3a14bcd10e4cb7db,2012-01-01,03:13,sadness,82
51a51e560b596a9eebbabad63e1d9ab1ff3459b8f37397d53571935ff0887476,2024-06-07,02:13,sadness,87
2fc9a97c5259b3a4ab013f93839864c9d4b580e849038ecf6e4818e85a94d769,2024-06-07,02:44,joy,82
8b701441c4be0779d0e8049e889993334cfa9ea2d5c5beed91326995a495892d,2024-06-07,02:13,joy,88
96bc4855194b4e67ea8df0ca9ed8864d9068bab68a0e60df03f14e8f87af8df7,2024-08-01,02:23,fear,90
b0f6d98791cc215867bfda73768638c4635be4904bc42f7805030c8a16aec3ba,2024-06-21,03:25,sadness,82
910b58e930eefb457606957f10d0986e62e0f0d1835e4ecd46a436414955a69e,2016-12-02,05:26,anger,81
800c6d229c96e24b73161a69ddb3da410eb6a9093ce2525915cc22c1811c9a52,2016-12-02,05:26,joy,81
4bf0980bfeaa33259bd9da1c0fce87fa78622249bcab324df70f3dd484e5364e,2016-12-02,05:26,joy,81
d7325d0fead55f674f76bf47ce727618842022093d2c35a5c6de9159c6ea2318,2019-10-04,03:04,anger,85
c92f52571bae168cc51f699d21a3c41679558a3762169d745d92c47c2a7fabcf,2019-10-04,03:04,anger,84
ebd0c70fab7b41d5448b50bc9dea3b6de404aac3c73334aebfe00387dbd635f1,2019-10-04,03:04,sadness,84
366f34494a3bdb6bc715bef66b9ccb9ec6f8b41aeba65c93dcbef940636662c3,2015-05-04,04:53,joy,83
61d279918bf2c81264ce1049f7c2a4c06fb11beeb46c756cac2ccdd3c5cfb518,2011-10-18,04:45,joy,82
ae77eac27dec967cc13c8e41abbe0bcc6a92a6af7dddb1085d986b0733c239c7,2015-12-04,04:23,joy,82
9087282e0eaee4e391a8a6ff83e5eae07e941525343a0606c5c59f00d5536025,2015-12-04,04:18,love,84
efd436c6aed636a4535e14a543bbd1257044f98814dde9bd93ac276003837c7a,2005-06-07,04:55,sadness,82
40dc5ebc49e2f3a2e82673cbc2477b92250649570194d9daa07ed70f00343ff2,2015-12-04,04:18,sadness,85
28c92ad8c90364b2ebe10114e8d3cf964b17dedc6b0bb274c428ba88f7b21953,2014-05-19,04:27,joy,87
8fc13ebd735d924561206d512a0c7b5368b6a1913c435c7decd3ab06923f32f2,2011-10-24,04:38,fear,83
6b2d8fa869b91618acaca71f794d6e8787e1b8addb1c2717a14ade7d5bfa5a38,2000-07-10,03:47,sadness,84
215adaad1591aafe7face37d1037f1a4cb9fa48ef8bb6fcad2d3b4592468eb8c,2020-03-20,03:18,sadness,84
f04f307d1a81b2b9b7bd795739fe67cbbde56b72f2ef4fdf3103f959461e717d,1970-12-07,02:40,fear,87
bd452dd9c50277f13fa183c4741f27ac3ec6a9cfc5405b7c84363f9b83cea094,2024-01-07,02:48,joy,83
6b7fd774248394d595bd879c1a0e1902b2258255a5c54955e64230be6b1f860c,1983-10-14,04:01,fear,82
0b7beb4661b83efb8d3a18b3596de8d153f7fdbb17349a4da9627aab2d86fc3c,1983-10-14,04:01,surprise,82
905b1921e831f3937d12b708b7a88b2b3dbee4503610fd1ccfce03e3d4ff0c4e,1983-10-14,04:01,anger,82
04325be9e55819311385ddff9fd3b96c9743f33520d2ba691507a6e211e5188c,1983-10-14,04:01,sadness,83
5983949bef33b9bbd6dea57efaf105b5d7b58c7f14c7b652c577cd568055a129,1983-10-14,04:01,anger,82
5811213ea85b5c624c40a97053c5b22babd4bbce124ea42627472c832cb14bac,1976-08-01,02:22,anger,84
957a3831570ef92580acb0b9d3b7ebf979e5cc556b79826ffe6c76e27330542e,1982-10-04,04:33,anger,83
dbb5f55599db77ee1eb236d416c918214791f26f34b8d26396fb0c3d08be0308,2022-08-26,02:55,love,88
e698d3c58f10109cbc1de67a34875607616ce067af3c8f0a7bac04821c30d300,1978-10-07,05:48,sadness,81
2039dd0d5504992008dac5ee65feaa47c3f6352b05e4423745c6e98209c0eb9a,1978-10-07,05:48,fear,81
c1bf3b076582335e1c8dce3234b8d63e87d77420b34e0f06c39ef5e71b8834c0,1978-10-07,05:48,joy,81
7d9e1048118a49f33990dfb8614dddcc4744e259c06463b4b02ef3abc21e9ce2,1978-10-07,05:48,anger,81
feac813abdd7b0973d4a09281ea4eac3199a8ee45d9822e6b983d064eec49b54,2024-02-02,03:05,fear,87
c4bf2e897eab6b22d6d2fe6b78a72616414fbbf04fab0af4091b0676ffdefcc6,2018-10-16,01:37,sadness,85
96d79bc244993353fc09323d2673fcf44ad165c288eafbd1d4b7e6923ea226a6,2024-05-03,07:36,joy,81
73e96432030e4d548904f80f6566126278dcc8e498b5593148f7834fca31c85b,1976-12-08,06:31,joy,83
78adf1f6ad324160e881e10ab7417ac91c6ca0fc22d3ab1f5b929fdf350d71ae,2014-06-21,04:18,love,82
fb2579ad52a257a286a407790deeccd154a2d158c9232a6cd0f11d0138d8e12a,1972-05-19,04:41,sadness,82
5267f676feb411a30d97fe6cd3c44a9d144c46d783e6263927b7047a672f2201,1972-05-19,04:41,sadness,81
36fe9396a76d61d28e21c2d03057787e62640331f986b257cf7b1b34ed7fafa8,1972-05-19,04:41,joy,81
7729a6723946fb80c0c7c27ade6592138169fb9f04e584b02c0779de6e16841b,1983-05-30,03:03,sadness,84
3b4674818b1e81978022b8ee19d88adbc7147fe45b3bae44bdad9a94f274de49,2021-08-13,03:22,love,84
25dedf18760d9731f58a3ae3afda454d1cc16eed75261b9fbec6b3e523c49e8d,1975-10-24,04:35,fear,83
c2f0e0356379da2939341404f629c5e841f18be24c33e3f22786e76d3c26d9b9,2024-05-31,03:47,anger,94
e4f2d5463b80faa73fd454f11a6b13b248e82d151c5be6c7019f6f2e034b716d,2024-05-31,03:47,joy,94
06ab36c1706e0fd2ec054d5b2a06ddf2712a2780bcdd8942cce7db62b2da52ab,2002-05-26,05:50,joy,82
393cc897d9d9ed1e9a8be809ad3c60e32593deefff905872a4d0867fec3d597d,2002-05-26,04:57,joy,83
27c102477d1aae7c7f9fd73c5bb0a3f7df08d749b2450140ff289b918ae3e72a,2024-03-15,01:47,joy,83
f75ee67e39572982fea34b27d8e5c4435458596ae60c664a235e11e6dfe37cbe,2003-03-04,03:55,sadness,86
0a2b867a4c37e3f87a0535df3c161dd4954c4872d697e56f3f0610214df5907d,2003-03-04,03:55,sadness,86
f8b90045e48d814ceba27244467c729316b726e64483e1ed6f0cb98c388e3f4a,2019-12-06,02:02,sadness,84
5b0d1637b6b4a8f15b5f4c931a052aee9f8d4dce04ac49feb13a18321783a81b,2007-01-01,03:23,anger,81
96243b7d50ce72c428d1d48b48f352b5c7478ddebb7c4d06bffd66a7b53afeab,1977-02-04,04:30,sadness,81
1d1209ed46e8e66b22311f06ade3e6fbdeded37c03efd9780fc141157b4fac23,1987-04-13,03:46,sadness,81
45709323555614e17c20281fe8a45c2fad7830df3e76d69e683561e7d99f9ce0,1997-05-20,04:10,joy,86
731704830fb4bb917f665d11aaf0e1700242bb849cfe5b3330a8b0ff3a0ddc8c,2011-05-23,03:59,anger,85
4503c3cf32d26ac32967f33402cd812c41c31e0be2e32c176a27a537130c6c59,2016-08-20,03:04,joy,88
de26ead3a7910dfa37e43c1e67ebb1333c16ea44678ecf7bc1580a9b0ca4d81f,2016-08-20,04:09,joy,83
61e77bcd5e7c5a88f18e7ff479f78839b764daea3b6e72ee4b319bed53284a59,2012-07-10,03:54,sadness,83
41dbe352e6c5291e77493ac5f5475c7381e9eecb8b7fb519252f35761acf7fc7,2012-07-10,03:54,love,83
39aff5b856a146451abd341c25df4faff42a397d7122a10d8fd7c4ca5e58e8fb,2012-07-10,03:54,fear,83
7056f1412bd77ccbb1cf870c47f68bbdee6f620219df6c27e3136afdac9d3bfd,2016-08-20,03:04,joy,87
8e9d55b41c555dca9fd87eed5934514e6cdc43fdc45d2cbf3fd5a9f8f132f3b2,2012-07-10,03:54,anger,83
71546ee1f7b1afa1b2a1250b0c578ac5e849cff4265f8df36553f0732c6cc08f,2004-02-16,03:57,joy,82
696c6b54b625860fc706fc127b99b7c148d85ec00d08c39385df48969fc3f394,2017-06-30,03:24,anger,82
6b7132b958be18a3be145d4f5ca91e927732d1faab933515afd21365b63c661c,2017-06-30,03:24,joy,81
6718041ae6bf962fb495f213cb854cc743a00971b71d271e46769c34e640d928,2024-03-17,04:57,anger,81
ad6b2ab025c96f20719cd4ed96fefd838af24490e8cfc2d86414687907889961,2024-03-17,04:57,joy,81
af1291cd12ed509c4f8786f3f40a13de989b4555c7d78d202c6e14329000ff43,2020-08-07,03:58,sadness,87
c9dbe6e2997a7e9747407f15481ec8c029190c3c0349aca38026ae9f8be01dd4,2005-05-23,03:42,joy,85
ca4552586412cd51a92404369e9c240ab1df588902788f967c97667e53bb6517,2024-02-09,02:33,joy,81
9e3d0abea861a709e600074a572e2d3c18f114445402f037b59f0b914dbc4389,2024-06-21,03:45,sadness,84
ea2e87ae4acba4f66216d3732ac3083f66b6e2068f644245d3ad09dbb1464cf7,1994-02-01,02:58,joy,81
1873e2581e66ac0c11865703c003d9ff8e8898e4c03f1181c7b0ebd21d7b6549,1997-10-14,02:33,joy,81
913d86ee998eed7d0d93bc4a192c28d89f47f03ea3f10bd0916a5745cfb1f96a,1994-02-01,03:01,joy,81
8da320146c12201b001fd861d1d685dad6fa9cde3db2855bce3e702a67f4123c,2024-05-10,02:24,joy,85
b5c20b5f2aaf19ea16278e96ba3cb5dc3e71fa7c2f3e2805840aedfdf47b63a5,2019-12-13,03:27,joy,83
132fd156ef1098d1c464c2462e0931b7e0d091ee6ab7fa106086156a0ae2b3c8,2019-12-13,02:54,joy,87
