genre_name,songs_count,explicit_share
hip hop,239855,0.0
rock,84107,0.0
pop,63307,0.0
alternative rock,40267,0.0
indie rock,22744,0.0
pop rock,22582,0.0
electronic,21473,0.0
folk,20230,0.0
country,16357,0.0
rap,15969,0.0
